Address,LP,Agent,MLS,Zillow URL,Redfin URL,Coldwell Banker URL
100 Manhattan Ave #1109,"$449,000",Jill Biggs,202023984,https://www.zillow.com/homedetails/100-Manhattan-Ave-APT-1109-Union-City-NJ-07087/2077696733_zpid/?view=public,https://www.redfin.com/NJ/Union-City/100-Manhattan-Ave-07087/unit-1109/home/63128707,https://www.coldwellbankerhomes.com/nj/union-city/100-manhattan-ave-1109/pid_38552239/
609 Jefferson St #3B,"$699,000",Jill Biggs,202023358,https://www.zillow.com/homedetails/609-Jefferson-St-APT-3B-Hoboken-NJ-07030/162056048_zpid/?view=public,https://www.redfin.com/NJ/Hoboken/609-Jefferson-St-07030/unit-3B/home/36650696,https://www.coldwellbankerhomes.com/nj/hoboken/609-jefferson-st-3b/pid_38461341/
1 2nd St #1912,"$1,325,000",Jill Biggs,202022189,https://www.zillow.com/homedetails/1-2nd-St-APT-1912-Jersey-City-NJ-07302/2077633627_zpid/?view=public,https://www.redfin.com/NJ/Jersey-City/1-2nd-St-07302/unit-1912/home/173338294,https://www.coldwellbankerhomes.com/nj/jersey-city/1-2nd-st-1912/pid_38286280/
84 Adams St #4A,"$699,000",Jill Biggs,202022964,https://www.zillow.com/homedetails/84-Adams-St-APT-4A-Hoboken-NJ-07030/55346370_zpid/?view=public,https://www.redfin.com/NJ/Hoboken/84-Adams-St-07030/unit-4A/home/36650928,https://www.coldwellbankerhomes.com/nj/hoboken/84-adams-st-4a/pid_38400144/
689 Luis Munoz Marin Blvd #PH2A,"$470,000",Jill Biggs,202024799,https://www.zillow.com/homedetails/689-Luis-Munoz-Marin-Blvd-PENTHOUSE-2A-Jersey-City-NJ-07310/2077655108_zpid/?view=public,https://www.redfin.com/NJ/Jersey-City/689-Marin-Blvd-07310/unit-2A/home/59141394,https://www.coldwellbankerhomes.com/nj/jersey-city/689-luis-munoz-marin-blvd-ph2a/pid_38670550/
160 Sussex St,"$950,000",Jill Biggs,202022708,https://www.zillow.com/homedetails/160-Sussex-St-Jersey-City-NJ-07302/162094294_zpid/?view=public,https://www.redfin.com/NJ/Jersey-City/160-Sussex-St-07302/home/59139751,https://www.coldwellbankerhomes.com/nj/jersey-city/160-sussex-st/pid_38358839/
26 Avenue at Port Imperial #420,"$849,000",Jill Biggs,202024334,https://www.zillow.com/homedetails/26-Avenue-At-Port-Imperial-APT-420-West-New-York-NJ-07093/116169092_zpid/?view=public,https://www.redfin.com/NJ/West-New-York/26-Ave-at-Port-Imperial-07093/unit-420/home/40618260,https://www.coldwellbankerhomes.com/nj/west-new-york/26-ave-at-port-imperial-420/pid_38595079/
397 3rd St #2,"$1,249,000",Jill Biggs/Jeremy Lindberg,202021317,https://www.zillow.com/homedetails/397-3rd-St-2-Jersey-City-NJ-07302/239947372_zpid/?view=public,https://www.redfin.com/NJ/Jersey-City/397-3rd-St-07302/unit-2/home/104199827,https://www.coldwellbankerhomes.com/nj/jersey-city/397-3rd-st-2/pid_38142464/
320 Bloomfield St #1,"$2,089,000",Jill Biggs/Sonia Lander,202019098,https://www.zillow.com/homedetails/320-Bloomfield-St-1-Hoboken-NJ-07030/2078002050_zpid/?view=public,https://www.redfin.com/NJ/Hoboken/320-Bloomfield-St-07030/unit-1/home/173031027,https://www.coldwellbankerhomes.com/nj/hoboken/320-bloomfield-st-1/pid_37809233/
209 2nd St #4L,"$329,000",Lauren Blumenfeld,202024650,https://www.zillow.com/homedetails/209-2nd-St-APT-4L-Hoboken-NJ-07030/68299321_zpid/?view=public,https://www.redfin.com/NJ/Hoboken/209-2nd-St-07030/unit-4L/home/36393647,https://www.coldwellbankerhomes.com/nj/hoboken/209-2nd-st-4l/pid_38650697/
205 Adams St #3,"$975,000",Lauren Blumenfeld,202022704,,,
754 Murray St,"$610,000",Matt Kraus,3666379,https://www.zillow.com/homedetails/754-Murray-St-Elizabeth-NJ-07202/2077756445_zpid/?view=public,,https://www.coldwellbankerhomes.com/nj/elizabeth/754-murray-st/pid_38134896/
118 Corbin Ave #204,"$199,000",Phoebe Crego,202024909,https://www.zillow.com/homedetails/118-Corbin-Ave-APT-204-Jersey-City-NJ-07306/92208853_zpid/?view=public,https://www.redfin.com/NJ/Jersey-City/118-Corbin-Ave-07306/unit-204/home/36458055,https://www.coldwellbankerhomes.com/nj/jersey-city/118-corbin-ave-204/pid_38688299/
452 2nd St #1,"$815,000",Vanessa Mahapatra,202025290,https://www.zillow.com/homedetails/452-2nd-St-APT-1-Hoboken-NJ-07030/38883149_zpid/?view=public,https://www.redfin.com/NJ/Hoboken/452-2nd-St-07030/unit-1/home/36491078,https://www.coldwellbankerhomes.com/nj/hoboken/452-2nd-st-1/pid_38755638/
